investment_id,capex_meuro,uncertainty_pct,opex_meuro_per_year,project_url
1566,21.0,"+5%, - 5%",0.021,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1656,21.6,"+5%, - 5%",0.047,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1565,21.0,"+5%, - 5%",0.027,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1633,27.9,"+5%, - 5%",0.06,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1660,5.0,"+5%, - 5%",0.005,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1564,4.0,"+5%, - 5%",0.011,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1570,200.0,"+5%, - 5%",0.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1632,4.0,"+5%, - 5%",0.004,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1635,26.7,"+5%, - 5%",0.058,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1659,44.1,"+5%, -5%",0.096,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
382,24.0,"+5%, - 5%",0.052,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1004,15.0,"+5%, - 5%",0.04,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1661,56.6,"+5%, -5%",1.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1663,2.1,"+5%, -5%",0.04,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1665,4.5,"+5%, -5%",0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1012,51.2,"+5%, - 5%",0.11,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1634,35.4,"+5%, - 5%",0.077,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1664,16.6,"+5%, -5%",0.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1662,108.5,"+5%, -5%",2.2,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1034,650.0,"+10%, -10%",6.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1667,30.0,"+5%, -5%",0.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1668,30.0,"-5%, +5%",0.3,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1669,225.0,,4.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1013,73.2,"+5%, - 5%",0.17,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1010,53.66,"+5%, - 5%",0.094,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1011,27.2,"+5%, - 5%",0.13,https://tyndp-data.netlify.app/tyndp2018/projects/projects/170
1487,580.0,20%,4.5,https://tyndp-data.netlify.app/tyndp2018/projects/projects/172
1281,20.0,5%,0.1,https://tyndp-data.netlify.app/tyndp2018/projects/projects/173
1014,609.0,-10 / +15 %,1.9,https://tyndp-data.netlify.app/tyndp2018/projects/projects/174
1000,420.0,20%,8.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/175
995,660.0,+-10 %,1.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/176
1016,460.0,20 %,9.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/179
1018,210.0,,2.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/183
886,180.0,10.0,1.0,https://tyndp-data.netlify.app/tyndp2018/projects/projects/186
