"Time","Starting_State","Event_Type","Variable_Analyzed","Level_Value","Prob_Event","Lower_Event","Upper_Event"
8,"4","cancelled","Inv_Environment","Offshore",0.00398342040923905,0,0.0150319311762218
2,"4","cancelled","Inv_Environment","Onshore",0.0283950748284386,0,0.0646720685132927
4,"4","cancelled","Inv_Environment","Onshore",0.0347641906053755,0,0.0782639433464528
6,"4","cancelled","Inv_Environment","Onshore",0.0347641906053755,0,0.0782639433464528
8,"4","cancelled","Inv_Environment","Onshore",0.0399395051048363,0,0.0895605213846994
10,"4","cancelled","Inv_Environment","Onshore",0.0399395051048363,0,0.0895605213846994
0.0999999999999091,"1","success","Inv_Technology","AC",0.013303580815337,0,0.0317680826426689
1,"1","success","Inv_Technology","AC",0.13106207061483,0.0666804655147301,0.191002548188814
2,"1","success","Inv_Technology","AC",0.375304534326418,0.258270627721927,0.473872224266143
3,"1","success","Inv_Technology","AC",0.40840384493863,0.284532800829828,0.510828712917483
4,"1","success","Inv_Technology","AC",0.518769356106009,0.377253624780378,0.628126406129697
5,"1","success","Inv_Technology","AC",0.534134006793881,0.390674060903367,0.643817684919689
6,"1","success","Inv_Technology","AC",0.556790789855255,0.410845308142078,0.666582636662596
8,"1","success","Inv_Technology","AC",0.566763814197395,0.419356604946931,0.67674894042042
10,"1","success","Inv_Technology","AC",0.587119656679921,0.43265027695897,0.699532455949083
14,"1","success","Inv_Technology","AC",0.587119656679921,0.43265027695897,0.699532455949083
0.0999999999999091,"1","success","Inv_Technology","DC",0.00507321270520267,0,0.0125719414353052
1,"1","success","Inv_Technology","DC",0.0519524057715691,0.0162340438066076,0.0863739131610819
2,"1","success","Inv_Technology","DC",0.163622680978766,0.0706947602029213,0.247258069990121
3,"1","success","Inv_Technology","DC",0.18073672263122,0.0787566118352955,0.271427804782209
4,"1","success","Inv_Technology","DC",0.242523284533359,0.109310455265464,0.35581260848286
5,"1","success","Inv_Technology","DC",0.251800255054376,0.114022428952545,0.368152336322844
