Name;Country_ISO3;Lat;Lon;Status
Darbenai;"LTU;LVA";56.0231924;21.254035;Found in LTU
Musa;"LTU;LVA";54.9365177;24.9125585;Found in LTU
Mog;BEL;50.6425629;5.5717808;Found in BEL
Bofferdange;"DEU;LUX";49.6885664;6.140782;Found in LUX
Bertrange;"DEU;LUX";49.6106029;6.0501598;Found in LUX
Aulepa;"EST;FIN";59.0812214;23.5863757;Found in EST
Ovelgönnerastedewiefelstedewesterstede;DEU;;;Not Found
Arad, Romania;"HUN;ROU";46.1753793;21.3196342;Found in ROU
Fier;"ALB;GRC";40.7251118;19.5582079;Found in ALB
Tan Tan;"DEU;MAR";28.5889085;77.1884398;Found in DEU
Rejim Maatoug;"MLT;TUN";33.3200444;8.0329992;Found in TUN
Thesprotia;"DEU;GRC";39.5440124;20.3083554;Found in GRC
Aracthos;GRC;;;Not Found
Pedralva;PRT;41.5599098;-8.3208927;Found in PRT
Reitdorf;AUT;47.3722957;13.3858311;Found in AUT
Sajóivánka;"HUN;SVK";48.2661062;20.5793709;Found in HUN
Bucharest South;"HUN;ROU";44.4056412;26.155958;Found in ROU
Maritsa East;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK";42.1825797;24.3564833;Found in BGR
Blagoevgrad;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK";41.750287;23.4873411;Found in BGR
Tsarevets;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK";41.67103;25.35166;Found in BGR
Svoboda;"BGR;CZE;GRC;HUN;MKD;POL;ROU;SVK";43.7492731;27.817828;Found in BGR
Mukacheve;"SVK;UKR";;;Not Found
Lemeany;"SVK;UKR";;;Not Found
Vola;"SVK;UKR";48.8410159;21.8438864;Found in SVK
Artsyz, Odesa Oblast, Ukraine;"ROU;UKR";45.9962017;29.431517;Found in UKR
Pulgar;DEU;51.1885941;12.3517288;Found in DEU
Isar;"AUT;DEU";47.3728525;11.4229223;Found in AUT
Gabíkovo;"HUN;SVK";;;Not Found
Cirkovce;"HRV;SVN";46.3948524;15.727405;Found in SVN
Divaca;SVN;45.6869095;14.0125353;Found in SVN
Tirana;"ALB;SRB";41.3281482;19.8184435;Found in ALB
Leskovac;"MKD;SRB";41.9857749;21.4677457;Found in MKD
Resita;"ROU;SRB";45.289027;21.887861;Found in ROU
Filippoi, Kavala, Greece;GRC;41.014817;24.2828576;Found in GRC
Vidno;BGR;43.5666329;28.3837938;Found in BGR
Cernavoda;"BGR;ROU";44.3416349;28.0316248;Found in ROU
Smardan, Galați, Romania;"BGR;ROU";45.5683363;27.9226248;Found in ROU
Gadalin;ROU;46.8402209;23.8485171;Found in ROU
Vyskov;CZE;49.2778194;16.9994446;Found in CZE
Babylon;CZE;49.3975285;12.8617005;Found in CZE
Vernerov;CZE;50.4051311;13.2245204;Found in CZE
Caparacena;ESP;37.2651485;-3.7142933;Found in ESP
Mirovka;CZE;49.5795969;15.6137086;Found in CZE
Ostroka;POL;;;Not Found
Krajnik;POL;53.1974005;14.4697273;Found in POL
Sta.Llogaia;"ESP;FRA";42.576674;1.0887338;Found in ESP
Ek;POL;49.6887854;21.7763228;Found in POL
Siedlce Ujrzanów;POL;52.1339382;22.3146453;Found in POL
Ostroleka;"LTU;POL";53.0843135;21.5668607;Found in POL
Kozienice;POL;51.5849678;21.549883;Found in POL
Klaipeda;LTU;55.7127529;21.1350469;Found in LTU
Kruonis;LTU;54.7576712;24.2385957;Found in LTU
Gatica, Biscay, Spain;"ESP;FRA";;;Not Found
Visaginas;LTU;55.59966;26.4370071;Found in LTU
Vilnius;"EST;LTU;LVA;POL";54.6870458;25.2829111;Found in LTU
Klaipeda;"LTU;SWE";55.7127529;21.1350469;Found in LTU
Grobiņa, Latvia;LVA;56.5368569;21.1676042;Found in LVA
Kilingi-Nomme;"EST;LVA";58.1530218;24.9627322;Found in EST
