Inv_index,Tstart,Tstop,from,to,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
946,2014.0,2018.0,1,6,230.0,DC,900.0,400.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,0
947,2014.0,2016.0,1,6,,,,,,DEU,1.0,EU,Internal,,,,0,0
948,2014.0,2018.0,1,6,240.0,DC,900.0,400.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,0
949,2014.0,2015.0,2,6,,,,,,GRC,1.0,EU,Internal,,,,0,0
950,2014.0,2018.0,1,6,330.0,DC,900.0,400.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,0
951,2014.0,2016.0,1,6,,,,,,DEU,1.0,EU,Internal,,,,0,0
952,2014.0,2018.0,1,2,135.0,DC,900.0,320.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,0
952,2018.0,2020.0,2,6,135.0,DC,900.0,320.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,1
953,2014.0,2018.0,1,4,60.0,DC,900.0,320.0,Subsea Cable,,,Unknown,Internal,New,Cable/Line,Offshore,0,0
953,2018.0,2020.0,4,6,60.0,DC,900.0,320.0,Subsea Cable,,,Unknown,Internal,New,Cable/Line,Offshore,0,1
954,2014.0,2018.0,1,2,250.0,DC,900.0,320.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,0
954,2018.0,2020.0,2,6,250.0,DC,900.0,320.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,1
955,2014.0,2018.0,1,6,255.0,DC,900.0,400.0,Subsea Cable,DEU,1.0,EU,Internal,New,Cable/Line,Offshore,0,0
956,2014.0,2018.0,1,6,770.0,DC,8000.0,500.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
958,2014.0,2018.0,1,6,770.0,DC,2000.0,500.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
969,2014.0,2018.0,1,6,360.0,DC,4000.0,500.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
970,2014.0,2018.0,1,6,500.0,DC,4000.0,500.0,Overhead Line,DEU,1.0,EU,Internal,New,Cable/Line,Onshore,0,0
971,2014.0,2015.0,2,6,,,,,,CYP;GRC,2.0,EU,Cross-border,,,,0,0
973,2014.0,2015.0,3,6,,,,,,GRC,1.0,EU,Internal,,,,0,0
979,2014.0,2015.0,3,6,,,,,,GRC,1.0,EU,Internal,,,,0,0
984,2014.0,2018.0,2,6,115.0,AC,400.0,380.0,Overhead Line,DEU,1.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
985,2014.0,2016.0,2,3,62.0,AC,400.0,380.0,Overhead Line,DEU,1.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
985,2016.0,2018.0,3,6,62.0,AC,400.0,380.0,Overhead Line,DEU,1.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
986,2014.0,2018.0,2,6,94.0,AC,2000.0,380.0,Overhead Line,AUT;DEU,2.0,EU,Cross-border,Upgrade,Cable/Line,Onshore,0,0
