"coef","exp(coef)","se(coef)","robust se","z","Pr(>|z|)","Variable"
0.648863669624826,1.9133653780346,0.32241074053488,0.280770090890512,2.31101420940827,0.020832070045056,"from2:NewDirective1_1:2"
1.69574030892112,5.45067965871644,0.308483886342241,0.288504710609285,5.87768672941226,4.16039295729096e-09,"from3:NewDirective1_1:2"
0.829174365985631,2.2914260797364,0.360540236731043,0.323363613090376,2.56421666637516,0.0103408969611584,"from4:NewDirective1_1:2"
-0.400765176575582,0.66980732902281,0.149104548760107,0.139796653341906,-2.86677232247767,0.00414681220503357,"from1:is_EU_1:3"
-1.17383591855868,0.309178679450293,0.254949798084939,0.270728864381087,-4.33583586014068,1.45207272485855e-05,"from2:is_EU_1:3"
-0.597948346806418,0.549938763081369,0.340097661536005,0.306453367983517,-1.95118869386542,0.0510346034302275,"from3:is_EU_1:3"
-0.300387250120705,0.740531394276703,0.62286447788326,0.59632038354222,-0.503734667489255,0.614447843427026,"from4:is_EU_1:3"
0.204848835484943,1.22733952075622,0.170786754014058,0.169663693111959,1.20738168389254,0.227285186014379,"from1:Project_JurisdictionCross-border_1:3"
-0.398853633234222,0.671088919280015,0.247377650118225,0.256993780849135,-1.55199721921817,0.120662888980101,"from2:Project_JurisdictionCross-border_1:3"
-1.04699015122908,0.350992595482905,0.365746824458519,0.370360903432992,-2.82694566711605,0.00469943006909196,"from3:Project_JurisdictionCross-border_1:3"
-1.0734079930095,0.341841536450121,0.6154523553793,0.564963541223003,-1.89995975790905,0.0574384008690735,"from4:Project_JurisdictionCross-border_1:3"
-0.198392917844298,0.820047578501483,0.217140059735227,0.199313783909545,-0.995379817455754,0.31955157080788,"from1:Infr_TypeUpgrade_1:3"
0.4100410640156,1.50687966237234,0.277867441059649,0.274679657243692,1.49279734848299,0.135490241590888,"from2:Infr_TypeUpgrade_1:3"
0.672064380129786,1.9582757763492,0.381055635384123,0.346720192171723,1.93834796848788,0.0525807838123878,"from3:Infr_TypeUpgrade_1:3"
0.054806803755097,1.05633651471246,0.589285450127909,0.574725991041135,0.0953616238162689,0.924027596878623,"from4:Infr_TypeUpgrade_1:3"
0.322503439502348,1.38057963935832,0.188576284551017,0.173143546752765,1.86263620880342,0.0625134664112426,"from1:Inv_Element_CategoryNodal Infrastructure_1:3"
0.353917652748685,1.42463786663703,0.308315796098904,0.29806853684881,1.18737004747403,0.235081689228983,"from2:Inv_Element_CategoryNodal Infrastructure_1:3"
-0.189871777776578,0.827065175280479,0.529556752865676,0.473034931812852,-0.401390605655519,0.688132564838759,"from3:Inv_Element_CategoryNodal Infrastructure_1:3"
0.854459914461278,2.35010478015311,0.548660205491795,0.537911342032153,1.58847722234904,0.112178467673014,"from4:Inv_Element_CategoryNodal Infrastructure_1:3"
0.117705058873093,1.12491227953892,0.204046518894772,0.182493666160067,0.644981611415779,0.518939102306472,"from1:Inv_TechnologyDC_1:3"
-0.387008464666215,0.679085346671517,0.355663865121174,0.345314447743224,-1.12074217338857,0.262397625023336,"from2:Inv_TechnologyDC_1:3"
-0.486056235847197,0.61504721863957,0.652457528068435,0.603318734035809,-0.805637565065811,0.420451859007928,"from3:Inv_TechnologyDC_1:3"
1.7344694171454,5.66592076572031,0.812654232969753,0.763449864980644,2.27188384818089,0.02309352670581,"from4:Inv_TechnologyDC_1:3"
-1.43889867000589,0.237188838070088,0.225744343455757,0.213501407534838,-6.73952779337576,1.58902198778437e-11,"from1:Covid191_1:3"
-2.14088449999887,0.117550823322752,0.35843459481551,0.331802521699884,-6.45228519973489,1.10175983507738e-10,"from2:Covid191_1:3"
-1.90623485211596,0.148638982087134,0.414958388206793,0.362635793892732,-5.25660975617818,1.46735219172951e-07,"from3:Covid191_1:3"
-1.11735616426578,0.327143566135275,0.788707184202977,0.741854938434131,-1.50616529779291,0.132024745400059,"from4:Covid191_1:3"
0.11830272748924,1.12558480525806,0.207151610661583,0.191416015920794,0.618039858995879,0.536549064547941,"from1:NewDirective1_1:3"
0.917765172454743,2.50368882025633,0.322238487580757,0.31583264740752,2.90585909971032,0.00366246329055881,"from2:NewDirective1_1:3"
1.10328480516048,3.01405034915847,0.473450910478327,0.433468829644815,2.54524600088204,0.0109200776897556,"from3:NewDirective1_1:3"
1.05585366889885,2.87442791654314,0.851315420391168,0.73156946450542,1.44327192444078,0.148943885391783,"from4:NewDirective1_1:3"
