Inv_index,Duration,from,to,status,Inv_Line_Length_km,Inv_Technology,Capacity_MW,Voltage_kV,Inv_Element.type,Project_Country_ISO3,Project_N_Countries,Project_Region,Project_Jurisdiction,Infr_Type,Inv_Element_Category,Inv_Environment,Covid19,NewDirective
1278,6.0,1,6,2,0.0,AC,500.0,400.0,OnshoreSubstation,BIH;HRV,2.0,Extra-EU,Cross-border,Upgrade,Nodal Infrastructure,Onshore,1,0
1279,6.0,1,6,2,25.0,AC,500.0,400.0,ACTransmissionLine,BIH;HRV,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,0
1281,2.0,1,2,1,0.0,AC,,220.0,PhaseShiftingTransformer,BEL;FRA,2.0,EU,Cross-border,Upgrade,Nodal Infrastructure,Onshore,0,0
1281,2.0,4,5,1,0.0,AC,,220.0,PhaseShiftingTransformer,BEL;FRA,2.0,EU,Cross-border,Upgrade,Nodal Infrastructure,Onshore,1,1
1282,6.0,1,2,1,11.0,AC,0.0,380.0,ACTransmissionLine,CHE;DEU,2.0,Extra-EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1282,2.0,2,2,0,11.0,AC,0.0,380.0,ACTransmissionLine,CHE;DEU,2.0,Extra-EU,Cross-border,Upgrade,Cable/Line,Onshore,1,1
1283,2.0,2,6,2,67.0,AC,300.0,380.0,Overhead Line,ITA,1.0,EU,Internal,Upgrade,Cable/Line,Onshore,0,0
1284,2.0,3,4,1,49.0,AC,1500.0,380.0,Overhead Line,CHE,1.0,Extra-EU,Internal,Upgrade,Cable/Line,Onshore,0,0
1284,4.0,4,5,1,49.0,AC,1500.0,380.0,Overhead Line,CHE,1.0,Extra-EU,Internal,Upgrade,Cable/Line,Onshore,1,1
1285,2.0,2,6,2,1.0,AC,1500.0,380.0,Overhead Line,,,Unknown,Internal,New,Cable/Line,Onshore,0,1
1286,6.0,3,6,2,124.0,AC,1500.0,380.0,Overhead Line,CHE,1.0,Extra-EU,Internal,New,Cable/Line,Onshore,1,0
1287,6.0,3,6,2,45.4,AC,1500.0,380.0,Overhead Line,CHE,1.0,Extra-EU,Internal,Upgrade,Cable/Line,Onshore,1,0
1288,6.0,3,6,2,87.0,AC,1500.0,380.0,Overhead Line,CHE,1.0,Extra-EU,Internal,Upgrade,Cable/Line,Onshore,1,0
1289,2.0,2,6,2,0.0,AC,1650.0,380.0,Substation,CHE,1.0,Extra-EU,Internal,New,Nodal Infrastructure,Onshore,0,0
1290,6.0,2,6,2,1.0,AC,500.0,220.0,Overhead Line,CHE,1.0,Extra-EU,Internal,Upgrade,Cable/Line,Onshore,1,0
1291,2.0,3,6,2,17.0,AC,500.0,220.0,Overhead Line,CHE,1.0,Extra-EU,Internal,Upgrade,Cable/Line,Onshore,0,0
1297,2.0,1,6,2,,DC,2000.0,,Subsea Cable,ESP;FRA;ITA,3.0,EU,Cross-border,New,Cable/Line,Offshore,0,0
1356,4.0,1,6,2,,DC,,320.0,Subsea Cable,NOR,1.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1369,2.0,2,6,2,,AC,,400.0,Subsea Cable,GBR;IRL,2.0,Extra-EU,Internal,New,Cable/Line,Offshore,0,0
1378,6.0,1,1,0,1308.0,DC,2000.0,525.0,OffshoreDCTransmissionCable,ITA;TUN,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1379,2.0,1,6,2,,DC,2000.0,,Subsea Cable,ESP;FRA;GBR,3.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1380,10.0,3,3,0,51.0,AC,0.0,220.0,ACTransmissionLine,AUT;ITA,2.0,EU,Cross-border,New,Cable/Line,Onshore,1,0
1381,2.0,2,3,1,240.0,DC,2075.0,320.0,OffshoreDCTransmissionCable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1381,8.0,3,3,0,240.0,DC,2075.0,320.0,OffshoreDCTransmissionCable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1382,2.0,1,6,2,665.0,DC,1400.0,500.0,OffshoreDCTransmissionCable,GBR;NOR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1383,6.0,2,3,1,158.0,DC,1400.0,525.0,OffshoreDCTransmissionCable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,0
1383,4.0,3,3,0,158.0,DC,1400.0,525.0,OffshoreDCTransmissionCable,FRA;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1384,8.0,3,3,0,14.0,AC,0.0,220.0,ACTransmissionLine,CHE;ITA,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,1,1
1385,2.0,4,5,1,200.0,DC,504.0,320.0,OffshoreDCTransmissionCable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,1,1
1386,2.0,1,6,2,,DC,1500.0,400.0,Subsea Cable,GBR;IRL,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1387,2.0,1,6,2,,AC,1500.0,400.0,Underground Cable,GBR;IRL,2.0,Extra-EU,Internal,New,Cable/Line,Onshore,0,0
1389,2.0,1,6,2,,DC,,,Offshore Hub,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Offshore,0,0
1390,2.0,1,6,2,,DC,,,Offshore Hub,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Offshore,0,0
1391,2.0,1,6,2,,DC,,,Offshore Hub,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Offshore,0,0
1392,2.0,1,6,2,101.0,DC,1000.0,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1393,2.0,1,6,2,53.0,DC,,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1394,2.0,1,6,2,41.0,DC,1000.0,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1395,2.0,1,6,2,,DC,,,Offshore Hub,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Offshore,0,0
1396,2.0,1,6,2,53.0,DC,500.0,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1397,2.0,1,6,2,,DC,,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1398,2.0,1,6,2,348.0,DC,1000.0,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1399,2.0,1,6,2,,DC,,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1400,2.0,1,6,2,,DC,,,Substation,IRL;GBR,2.0,Extra-EU,Cross-border,New,Nodal Infrastructure,Onshore,0,0
1401,2.0,1,6,2,,DC,,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1402,2.0,1,6,2,,DC,,,Underground Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,0
1403,2.0,1,6,2,,DC,,,Subsea Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Offshore,0,0
1404,2.0,1,6,2,,DC,,,Underground Cable,IRL;GBR,2.0,Extra-EU,Cross-border,New,Cable/Line,Onshore,0,0
